Station,Sensor,Depth
B1,CS,5
B1,CS,20
B1,CI,5
B1,CI,20
B1,LS,5
B1,LS,20
B1,TS,5
B1,TS,20
B1,LI,5
B1,LI,20
B1,TI,5
B1,TI,20
B2,CSn,5
B2,CSn,20
B2,LSn
B2,LSn
B2,CI,5
B2,CI,50
B2,T,5
B2,T,20
B2,L,5
B2,L,20
B2,LS,5
B2,LSm,5
B2,LSm,20
B2,LSp,5
B2,LSp,20
B2,TSt,5
B2,TSt,20
B2,LSt,5
B2,LSt,20
B2,TSn,5
B2,TSn,20
B3,CS,5
B3,CS,20
B3,CI,5
B3,CI,20
B3,LS,5
B3,LS,20
B3,LI,5
B3,LI,20
P1,A,2
P1,A,5
P1,A,20
P1,B,2
P1,B,5
P1,B,20
P1,C,2
P1,C,5
P1,C,20
P2,A,2
P2,A,5
P2,A,20
P2,B,2
P2,B,5
P2,B,20
P2,C,2
P2,C,5
P2,C,20
P3,A,2
P3,A,5
P3,A,20
P3,B,2
P3,B,5
P3,B,20
P3,C,2
P3,C,5
P3,C,20
I1,A,2
I1,A,5
I1,A,20
I1,B,2
I1,B,5
I1,B,20
I1,C,2
I1,C,5
I1,C,20
I3,A,2
I3,A,5
I3,A,20
I3,B,2
I3,B,5
I3,B,20
I3,C,2
I3,C,5
I3,C,20
